time,tl1,tl2,sc,reward
340,0.15,0.85,13.75257129286156,-4.351058144828171
341,0.15,0.5,13.735127934087505,-5.06254365076187
342,0.85,0.5,12.870874675465785,-4.146326275678948
343,0.15,0.85,13.849771602682178,-4.385753388445324
344,0.85,0.85,12.541790834289369,-3.657267191054382
345,0.15,0.15,14.309293720745881,-5.341539222207105
346,0.5,0.5,13.000598062365409,-4.484521856304351
347,0.85,0.5,12.576211484475815,-4.194866013920272
348,0.15,0.5,13.98514819030936,-4.750024957781304
349,0.15,0.5,13.554454835555175,-5.02782676892705
350,0.15,0.5,13.517643512593352,-5.154376249309259
351,0.5,0.5,13.096553640320154,-4.517496281718353
352,0.85,0.85,12.2098533016661,-4.031610687362541
353,0.15,0.5,13.683049500815493,-4.747058327587097
354,0.15,0.5,13.53452681181367,-5.025626599729816
355,0.5,0.15,13.978588361554845,-4.86244717831844
356,0.5,0.85,13.0524202421887,-4.359243626105383
357,0.5,0.5,13.110402898994035,-4.270188091113334
358,0.5,0.85,12.59535722134055,-4.161731804841575
359,0.85,0.85,12.233132474616298,-3.7508530651314222
360,0.15,0.5,13.690867602070588,-4.75663628448184
361,0.85,0.15,13.808716261352224,-4.327501892644216
362,0.5,0.5,13.54038940639263,-4.649393983374363
363,0.15,0.5,13.628576481368839,-4.871418457880906
364,0.15,0.5,13.530912771141235,-5.076968839718665
365,0.5,0.85,12.528018618303317,-4.3842530951624035
366,0.5,0.5,13.064898191922712,-4.319649729234338
367,0.85,0.5,12.563017453430335,-4.183247671492989
368,0.85,0.15,12.924704320459417,-4.904470287486399
369,0.85,0.5,12.616518278891117,-4.456029518258294
370,0.15,0.15,14.381438156051933,-5.376394249488953
371,0.15,0.5,13.592278713964976,-4.990909717894994
372,0.15,0.15,14.4221844502752,-5.504196016189065
373,0.15,0.15,14.239447462741335,-5.643616125316459
374,0.85,0.85,12.299502668436928,-4.2889718410744
375,0.5,0.85,12.60235740734431,-3.9670224853252933
376,0.85,0.85,12.235911205454093,-3.6806636595736424
377,0.15,0.15,14.312411287370459,-5.329920879779823
378,0.15,0.85,13.171607879279712,-4.820745135525006
379,0.5,0.5,13.419703009377379,-4.385598580062343
380,0.5,0.85,12.6413789841471,-4.286091935135383
381,0.85,0.5,12.799477462382832,-3.885827888999356
382,0.5,0.85,12.89882772645989,-3.9935410229214683
